num,corner,vdd,temp,gbw,pm,av0p1hz,cmrr0p1hz,psrr0p1hz,idd,vos
0,mos_tt,3.3,25,2.7774E+06,61.065,98.98,125.166,60.6897,-0.000262833,0.000428465
1,mos_ss,3.0,-40,3.23621E+06,59.6252,100.079,105.86,58.453,-0.000255901,-0.00022294
2,mos_ff,3.0,-40,3.40336E+06,60.163,99.765,119.68,60.5606,-0.000263349,0.000291713
3,mos_sf,3.0,-40,3.32244E+06,59.9682,99.9768,118.479,60.0722,-0.000259515,9.60884E-05
4,mos_fs,3.0,-40,3.31709E+06,59.8214,99.885,111.751,59.1201,-0.000259824,-9.33625E-06
5,mos_ss,3.0,85,2.29859E+06,61.5473,97.5982,107.512,58.3423,-0.000254949,-3.38107E-05
6,mos_ff,3.0,85,2.4005E+06,62.0204,97.2992,126.091,60.4146,-0.000260611,0.000502227
7,mos_sf,3.0,85,2.35027E+06,61.7971,97.4965,118.942,59.861,-0.00025772,0.000284353
8,mos_fs,3.0,85,2.34888E+06,61.7639,97.4339,112.466,58.9627,-0.000257875,0.000202059
